General Ledger,,,,,,,,,
Sandbox Company_US_2,,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Item split account full name,Amount,Balance
,Checking,03/25/2023,Transfer,,,,Savings,-817.53,"130,479.31"
,Checking,03/28/2023,Deposit,,,,Services,"6,568.21","137,047.52"
,Checking,03/30/2023,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),-561.84,"136,485.68"
,Checking,03/31/2023,Expense,,,,Job Expenses:Job Materials:Plants and Soil,-809.38,"135,676.30"
,Checking,03/31/2023,Journal Entry,,,,,-730.63,"134,945.67"
,Checking,04/02/2023,Expense,,,,Insurance:Workers Compensation,-47.48,"134,898.19"
,Checking,04/03/2023,Expense,,,,Automobile:Fuel,-392.98,"134,505.21"
,Checking,04/04/2023,Journal Entry,,,,,-186.65,"134,318.56"
,Checking,04/06/2023,Deposit,,,,Fees Billed,"70,099.39","204,417.95"
,Checking,04/07/2023,Expense,,,,Job Expenses:Cost of Labor:Maintenance and Repairs,"-1,100.89","203,317.06"
,Checking,04/08/2023,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),-629.71,"202,687.35"
,Checking,04/08/2023,Journal Entry,,,,,-814.81,"201,872.54"
,Checking,04/09/2023,Bill Payment (Check),,Bailey-Ruecker,,Accounts Payable (A/P),"-1,098.24","200,774.30"
,Checking,04/09/2023,Deposit,,,,Interest Earned,"21,584.85","222,359.15"
,Checking,04/13/2023,Bill Payment (Check),,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),"-1,053.52","221,305.63"
,Checking,04/15/2023,Expense,,,,Insurance,-249.02,"221,056.61"
,Checking,04/15/2023,Transfer,,,,Savings,-935.46,"220,121.15"
,Checking,04/16/2023,Deposit,,,,Landscaping Services:Job Materials,"4,107.35","224,228.50"
,Checking,04/17/2023,Deposit,,,,Services,"34,507.11","258,735.61"
,Checking,04/19/2023,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),-726.87,"258,008.74"
,Checking,04/22/2023,Expense,,,,Travel,-84.63,"257,924.11"
,Checking,04/22/2023,Bill Payment (Check),,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),-269.97,"257,654.14"
,Checking,04/24/2023,Expense,,,,Job Expenses:Equipment Rental,-171.39,"257,482.75"
,Checking,04/24/2023,Transfer,,,,Savings,-953.28,"256,529.47"
,Checking,04/27/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),-849.28,"255,680.19"
,Checking,05/01/2023,Expense,,,,Purchases,-61.87,"255,618.32"
,Checking,05/02/2023,Transfer,,,,Savings,"-23,399.00","232,219.32"
,Checking,05/07/2023,Bill Payment (Check),,Kulas Group,,Accounts Payable (A/P),"-1,531.29","230,688.03"
,Checking,05/10/2023,Expense,,,,Job Expenses:Cost of Labor:Maintenance and Repairs,-525.06,"230,162.97"
,Checking,05/10/2023,Journal Entry,,,,,"-1,059.76","229,103.21"
,Checking,05/13/2023,Journal Entry,,,,,-329.39,"228,773.82"
,Checking,05/19/2023,Bill Payment (Check),,Murray Group,,Accounts Payable (A/P),-645.49,"228,128.33"
,Checking,05/20/2023,Deposit,,,,Uncategorized Income,"11,167.08","239,295.41"
,Checking,05/24/2023,Bill Payment (Check),,Schroeder-Carroll,,Accounts Payable (A/P),"-1,013.39","238,282.02"
,Checking,05/24/2023,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),-993.87,"237,288.15"
,Checking,05/29/2023,Bill Payment (Check),,Ortiz-Beatty,,Accounts Payable (A/P),-684.13,"236,604.02"
,Checking,05/31/2023,Transfer,,,,Savings,"-11,133.68","225,470.34"
,Checking,06/03/2023,Bill Payment (Check),,McClure-Thiel,,Accounts Payable (A/P),"-1,199.43","224,270.91"
,Checking,06/06/2023,Expense,,,,Commissions & fees,-771.83,"223,499.08"
,Checking,06/06/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),"-1,064.57","222,434.51"
,Checking,06/08/2023,Transfer,,,,Savings,"-3,042.51","219,392.00"
,Checking,06/10/2023,Bill Payment (Check),,Pfannerstill Group,,Accounts Payable (A/P),-888.23,"218,503.77"
,Checking,06/18/2023,Journal Entry,,,,,"-1,050.31","217,453.46"
,Checking,06/20/2023,Journal Entry,,,,,-521.52,"216,931.94"
,Checking,06/20/2023,Journal Entry,,,,,"-1,152.87","215,779.07"
,Checking,06/22/2023,Deposit,,,,Discounts given,"8,115.22","223,894.29"
,Checking,06/23/2023,Deposit,,,,Other Portfolio Income,"36,362.28","260,256.57"
,Checking,06/25/2023,Expense,,,,Job Expenses:Permits,-41.86,"260,214.71"
,Checking,06/25/2023,Expense,,,,Meals and Entertainment,-55.79,"260,158.92"
,Checking,06/26/2023,Transfer,,,,Savings,"-25,760.26","234,398.66"
,Checking,06/29/2023,Expense,,,,Bank Charges,-47.27,"234,351.39"
,Checking,06/30/2023,Bill Payment (Check),,Weber and Sons,,Accounts Payable (A/P),-729.82,"233,621.57"
,Checking,07/02/2023,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),"-1,813.58","231,807.99"
,Checking,07/09/2023,Transfer,,,,Savings,"-6,384.95","225,423.04"
,Checking,07/11/2023,Deposit,,,,Landscaping Services,"6,185.80","231,608.84"
,Checking,07/12/2023,Expense,,,,Depreciation,-78.87,"231,529.97"
,Checking,07/12/2023,Bill Payment (Check),,Schroeder-Carroll,,Accounts Payable (A/P),-481.92,"231,048.05"
,Checking,07/13/2023,Expense,,,,Stationery & Printing,-463.18,"230,584.87"
,Checking,07/19/2023,Expense,,,,Uncategorized Expense,-178.91,"230,405.96"
,Checking,07/19/2023,Transfer,,,,Savings,"-13,173.11","217,232.85"
,Checking,07/21/2023,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),"-2,178.72","215,054.13"
,Checking,07/24/2023,Deposit,,,,Design income,"18,443.73","233,497.86"
,Checking,07/26/2023,Journal Entry,,,,,-801.60,"232,696.26"
,Checking,07/27/2023,Expense,,,,Utilities,-254.70,"232,441.56"
,Checking,07/27/2023,Deposit,,,,Landscaping Services:Job Materials,"40,617.36","273,058.92"
,Checking,07/27/2023,Journal Entry,,,,,-935.10,"272,123.82"
,Checking,07/28/2023,Expense,,,,Uncategorized Expense,-266.54,"271,857.28"
,Checking,07/28/2023,Bill Payment (Check),,"Berge, Lueilwitz and Sanford",,Accounts Payable (A/P),"-1,892.14","269,965.14"
,Checking,07/28/2023,Bill Payment (Check),,McClure-Thiel,,Accounts Payable (A/P),"-2,380.58","267,584.56"
,Checking,07/30/2023,Bill Payment (Check),,Trantow-Buckridge,,Accounts Payable (A/P),"-1,049.35","266,535.21"
,Checking,07/30/2023,Bill Payment (Check),,Gislason LLC,,Accounts Payable (A/P),"-1,636.78","264,898.43"
,Checking,08/03/2023,Deposit,,,,Interest Earned,"22,918.27","287,816.70"
,Checking,08/06/2023,Bill Payment (Check),,Fisher Group,,Accounts Payable (A/P),-728.34,"287,088.36"
,Checking,08/07/2023,Transfer,,,,Savings,"-19,646.55","267,441.81"
,Checking,08/10/2023,Expense,,,,Disposal Fees,"-1,551.85","265,889.96"
,Checking,08/12/2023,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),"-1,470.30","264,419.66"
,Checking,08/12/2023,Journal Entry,,,,,-425.15,"263,994.51"
,Checking,08/13/2023,Bill Payment (Check),,Cole Group,,Accounts Payable (A/P),-624.41,"263,370.10"
,Checking,08/13/2023,Bill Payment (Check),,Kulas Group,,Accounts Payable (A/P),"-1,497.29","261,872.81"
,Checking,08/22/2023,Transfer,,,,Savings,"-30,231.80","231,641.01"
,Checking,08/23/2023,Bill Payment (Check),,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),"-1,105.40","230,535.61"
,Checking,08/23/2023,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),"-2,209.14","228,326.47"
,Checking,08/25/2023,Expense,,,,Maintenance and Repair:Building Repairs,"-3,266.87","225,059.60"
,Checking,08/26/2023,Expense,,,,Legal & Professional Fees:Accounting,"-1,186.95","223,872.65"
,Checking,08/26/2023,Deposit,,,,Interest Earned,"6,205.53","230,078.18"
,Checking,08/28/2023,Deposit,,,,Services,"5,192.11","235,270.29"
,Checking,08/31/2023,Deposit,,,,Services,"14,334.49","249,604.78"
,Checking,09/01/2023,Bill Payment (Check),,Weber and Sons,,Accounts Payable (A/P),"-1,476.33","248,128.45"
,Checking,09/07/2023,Bill Payment (Check),,Schroeder-Carroll,,Accounts Payable (A/P),-729.03,"247,399.42"
,Checking,09/10/2023,Expense,,,,Supplies,-165.41,"247,234.01"
,Checking,09/10/2023,Deposit,,,,Pest Control Services,"11,423.21","258,657.22"
,Checking,09/11/2023,Bill Payment (Check),,McClure-Thiel,,Accounts Payable (A/P),"-2,531.73","256,125.49"
,Checking,09/11/2023,Deposit,,,,Pest Control Services,"44,880.34","301,005.83"
,Checking,09/12/2023,Deposit,,,,Landscaping Services:Labor:Maintenance and Repair,"31,229.84","332,235.67"
,Checking,09/13/2023,Bill Payment (Check),,McClure-Thiel,,Accounts Payable (A/P),"-2,140.87","330,094.80"
,Checking,09/16/2023,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),"-1,206.26","328,888.54"
,Checking,09/17/2023,Bill Payment (Check),,Kulas Group,,Accounts Payable (A/P),"-1,435.45","327,453.09"
,Checking,09/18/2023,Expense,,,,Depreciation,-64.56,"327,388.53"
,Checking,09/19/2023,Expense,,,,Job Expenses:Job Materials:Decks and Patios,-339.02,"327,049.51"
,Checking,09/21/2023,Deposit,,,,Landscaping Services:Job Materials:Fountains and Garden Lighting,"21,313.22","348,362.73"
,Checking,09/24/2023,Journal Entry,,,,,-155.04,"348,207.69"
,Checking,09/25/2023,Expense,,,,Legal & Professional Fees:Accounting,-286.82,"347,920.87"
,Checking,09/28/2023,Transfer,,,,Savings,"-26,798.06","321,122.81"
,Checking,09/29/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),"-1,184.36","319,938.45"
,Checking,09/30/2023,Transfer,,,,Savings,"-25,431.90","294,506.55"
,Checking,10/03/2023,Expense,,,,Legal & Professional Fees:Bookkeeper,-278.68,"294,227.87"
,Checking,10/03/2023,Bill Payment (Check),,"Berge, Lueilwitz and Sanford",,Accounts Payable (A/P),"-1,268.13","292,959.74"
,Checking,10/04/2023,Transfer,,,,Savings,"-6,914.21","286,045.53"
,Checking,10/05/2023,Expense,,,,Unapplied Cash Bill Payment Expense,-130.46,"285,915.07"
,Checking,10/06/2023,Journal Entry,,,,,-406.97,"285,508.10"
,Checking,10/08/2023,Expense,,,,Advertising,-94.20,"285,413.90"
,Checking,10/08/2023,Bill Payment (Check),,Schamberger-Schamberger,,Accounts Payable (A/P),"-1,114.25","284,299.65"
,Checking,10/08/2023,Deposit,,,,Landscaping Services:Labor:Installation,"21,056.94","305,356.59"
,Checking,10/08/2023,Journal Entry,,,,,-330.59,"305,026.00"
,Checking,10/14/2023,Expense,,,,Legal & Professional Fees:Accounting,-385.99,"304,640.01"
,Checking,10/15/2023,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),-550.34,"304,089.67"
,Checking,10/15/2023,Transfer,,,,Savings,"-2,324.24","301,765.43"
,Checking,10/16/2023,Deposit,,,,Discounts given,"24,707.59","326,473.02"
,Checking,10/21/2023,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),"-1,618.02","324,855.00"
,Checking,10/21/2023,Bill Payment (Check),,Moore Group,,Accounts Payable (A/P),-814.46,"324,040.54"
,Checking,10/23/2023,Expense,,,,Job Expenses:Permits,-107.15,"323,933.39"
,Checking,10/24/2023,Bill Payment (Check),,Schroeder-Carroll,,Accounts Payable (A/P),"-1,159.58","322,773.81"
,Checking,10/29/2023,Expense,,,,Utilities,-112.61,"322,661.20"
,Checking,11/02/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),-313.25,"322,347.95"
,Checking,11/04/2023,Deposit,,,,Landscaping Services:Labor,"2,374.58","324,722.53"
,Checking,11/05/2023,Transfer,,,,Savings,"-5,266.15","319,456.38"
,Checking,11/05/2023,Transfer,,,,Savings,"-5,510.42","313,945.96"
,Checking,11/07/2023,Bill Payment (Check),,Grimes-Schulist,,Accounts Payable (A/P),"-1,544.60","312,401.36"
,Checking,11/07/2023,Journal Entry,,,,,"-2,931.89","309,469.47"
,Checking,11/11/2023,Expense,,,,Promotional,-31.10,"309,438.37"
,Checking,11/13/2023,Expense,,,,Advertising,-697.79,"308,740.58"
,Checking,11/13/2023,Bill Payment (Check),,Ortiz-Beatty,,Accounts Payable (A/P),-919.73,"307,820.85"
,Checking,11/14/2023,Deposit,,,,Services,"2,737.09","310,557.94"
,Checking,11/17/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),"-1,114.67","309,443.27"
,Checking,11/18/2023,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),-894.05,"308,549.22"
,Checking,11/18/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),"-1,792.99","306,756.23"
,Checking,11/19/2023,Expense,,,,Automobile:Fuel,-396.39,"306,359.84"
,Checking,11/24/2023,Expense,,,,Stationery & Printing,-25.75,"306,334.09"
,Checking,11/24/2023,Deposit,,,,Other Portfolio Income,"3,278.27","309,612.36"
,Checking,11/29/2023,Bill Payment (Check),,Schamberger-Schamberger,,Accounts Payable (A/P),"-2,219.31","307,393.05"
,Checking,12/05/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),-875.74,"306,517.31"
,Checking,12/05/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),"-2,242.71","304,274.60"
,Checking,12/07/2023,Journal Entry,,,,,-652.45,"303,622.15"
,Checking,12/08/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),"-2,127.82","301,494.33"
,Checking,12/09/2023,Transfer,,,,Savings,"-2,163.52","299,330.81"
,Checking,12/10/2023,Deposit,,,,Other Income,"2,150.30","301,481.11"
,Checking,12/13/2023,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),-958.65,"300,522.46"
,Checking,12/14/2023,Transfer,,,,Savings,"-3,563.18","296,959.28"
,Checking,12/16/2023,Deposit,,,,Landscaping Services:Job Materials:Sprinklers and Drip Systems,"3,970.85","300,930.13"
,Checking,12/18/2023,Expense,,,,Depreciation,-328.35,"300,601.78"
,Checking,12/18/2023,Journal Entry,,,,,"-1,114.83","299,486.95"
,Checking,12/25/2023,Bill Payment (Check),,Grimes-Schulist,,Accounts Payable (A/P),-742.20,"298,744.75"
,Checking,12/26/2023,Deposit,,,,Other Portfolio Income,909.28,"299,654.03"
,Checking,12/27/2023,Expense,,,,Commissions & fees,-70.20,"299,583.83"
,Checking,12/27/2023,Expense,,,,Promotional,-116.66,"299,467.17"
,Checking,01/04/2024,Deposit,,,,Discounts given,"28,245.80","327,712.97"
,Checking,01/10/2024,Journal Entry,,,,,-696.57,"327,016.40"
,Checking,01/13/2024,Bill Payment (Check),,Bashirian and Sons,,Accounts Payable (A/P),"-1,369.77","325,646.63"
,Checking,01/15/2024,Bill Payment (Check),,Schamberger-Schamberger,,Accounts Payable (A/P),"-1,972.63","323,674.00"
,Checking,01/20/2024,Journal Entry,,,,,"-1,100.27","322,573.73"
,Checking,01/22/2024,Transfer,,,,Savings,"-11,440.45","311,133.28"
,Checking,01/24/2024,Deposit,,,,Billable Expense Income,"4,600.28","315,733.56"
,Checking,01/25/2024,Transfer,,,,Savings,"-4,537.94","311,195.62"
,Checking,01/28/2024,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),-717.91,"310,477.71"
,Checking,01/28/2024,Deposit,,,,Discounts given,"3,134.40","313,612.11"
,Checking,01/29/2024,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),"-1,628.85","311,983.26"
,Checking,01/31/2024,Expense,,,,Penalties & Settlements,-60.28,"311,922.98"
,Checking,02/01/2024,Bill Payment (Check),,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),-164.73,"311,758.25"
,Checking,02/02/2024,Journal Entry,,,,,"-1,902.10","309,856.15"
,Checking,02/04/2024,Transfer,,,,Savings,"-1,609.43","308,246.72"
,Checking,02/05/2024,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),"-2,034.94","306,211.78"
,Checking,02/08/2024,Expense,,,,Maintenance and Repair,-55.86,"306,155.92"
,Checking,02/09/2024,Journal Entry,,,,,"-1,193.31","304,962.61"
,Checking,02/12/2024,Expense,,,,Legal & Professional Fees,-50.40,"304,912.21"
,Checking,02/12/2024,Bill Payment (Check),,Denesik Group,,Accounts Payable (A/P),"-1,167.94","303,744.27"
,Checking,02/13/2024,Expense,,,,Automobile:Fuel,-102.02,"303,642.25"
,Checking,02/20/2024,Transfer,,,,Savings,-668.74,"302,973.51"
,Checking,02/21/2024,Expense,,,,Utilities:Gas and Electric,-92.60,"302,880.91"
,Checking,02/21/2024,Bill Payment (Check),,Moore Group,,Accounts Payable (A/P),"-1,610.31","301,270.60"
,Checking,02/25/2024,Expense,,,,Job Expenses:Cost of Labor:Installation,-241.96,"301,028.64"
,Checking,02/27/2024,Deposit,,,,Landscaping Services:Job Materials:Fountains and Garden Lighting,"6,139.30","307,167.94"
,Checking,02/28/2024,Bill Payment (Check),,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),-709.15,"306,458.79"
,Checking,02/28/2024,Journal Entry,,,,,-982.73,"305,476.06"
,Checking,03/02/2024,Bill Payment (Check),,Cole Group,,Accounts Payable (A/P),"-1,134.62","304,341.44"
,Checking,03/03/2024,Transfer,,,,Savings,"-19,798.17","284,543.27"
,Checking,03/04/2024,Transfer,,,,Savings,-793.82,"283,749.45"
,Checking,03/05/2024,Expense,,,,Legal & Professional Fees,-115.61,"283,633.84"
,Checking,03/08/2024,Bill Payment (Check),,Gislason LLC,,Accounts Payable (A/P),-195.19,"283,438.65"
,Checking,03/09/2024,Journal Entry,,,,,"-1,058.09","282,380.56"
,Checking,03/16/2024,Expense,,,,Travel,-486.64,"281,893.92"
,Checking,03/16/2024,Bill Payment (Check),,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),"-1,473.61","280,420.31"
,Checking,03/20/2024,Bill Payment (Check),,"Berge, Lueilwitz and Sanford",,Accounts Payable (A/P),-76.37,"280,343.94"
,Checking,03/20/2024,Journal Entry,,,,,"-1,682.16","278,661.78"
,Checking,03/21/2024,Bill Payment (Check),,Pfannerstill Group,,Accounts Payable (A/P),-449.12,"278,212.66"
,Checking,03/22/2024,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),-466.30,"277,746.36"
,Checking,03/29/2024,Bill Payment (Check),,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),"-1,224.43","276,521.93"
,Checking,03/30/2024,Expense,,,,Dues & Subscriptions,-409.00,"276,112.93"
,Checking,03/30/2024,Expense,,,,Utilities:Telephone,-112.59,"276,000.34"
,Checking,04/01/2024,Bill Payment (Check),,Moore Group,,Accounts Payable (A/P),"-1,475.57","274,524.77"
,Checking,04/01/2024,Deposit,,,,Landscaping Services:Job Materials:Plants and Soil,"13,885.89","288,410.66"
,Checking,04/04/2024,Deposit,,,,Design income,"20,700.11","309,110.77"
,Checking,04/08/2024,Bill Payment (Check),,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),"-1,407.48","307,703.29"
,Checking,04/09/2024,Expense,,,,Job Expenses:Job Materials:Fountain and Garden Lighting,"-2,076.61","305,626.68"
,Checking,04/12/2024,Expense,,,,Job Expenses:Cost of Labor:Maintenance and Repairs,-110.35,"305,516.33"
,Checking,04/19/2024,Transfer,,,,Savings,"-2,723.24","302,793.09"
,Checking,04/23/2024,Expense,,,,Utilities,-910.67,"301,882.42"
,Checking,04/25/2024,Bill Payment (Check),,Weber and Sons,,Accounts Payable (A/P),"-1,072.20","300,810.22"
,Checking,04/26/2024,Journal Entry,,,,,"-1,126.88","299,683.34"
,Checking,04/27/2024,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),-578.83,"299,104.51"
,Checking,04/27/2024,Transfer,,,,Savings,"-22,630.92","276,473.59"
,Checking,04/28/2024,Bill Payment (Check),,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),-808.31,"275,665.28"
,Checking,04/28/2024,Journal Entry,,,,,-417.63,"275,247.65"
,Checking,04/30/2024,Expense,,,,Legal & Professional Fees,-73.79,"275,173.86"
,Checking,04/30/2024,Expense,,,,Maintenance and Repair,-25.60,"275,148.26"
,Checking,05/01/2024,Expense,,,,Maintenance and Repair:Equipment Repairs,-167.13,"274,981.13"
,Checking,05/02/2024,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),-129.05,"274,852.08"
,Checking,05/02/2024,Bill Payment (Check),,Kulas Group,,Accounts Payable (A/P),-114.67,"274,737.41"
,Checking,05/03/2024,Expense,,,,Job Expenses:Cost of Labor:Maintenance and Repairs,-894.54,"273,842.87"
,Checking,05/05/2024,Transfer,,,,Savings,"-24,050.36","249,792.51"
,Checking,05/11/2024,Deposit,,,,Discounts given,"1,633.28","251,425.79"
,Checking,05/12/2024,Journal Entry,,,,,-291.66,"251,134.13"
,Checking,05/15/2024,Bill Payment (Check),,Trantow-Buckridge,,Accounts Payable (A/P),-159.00,"250,975.13"
,Checking,05/17/2024,Expense,,,,Maintenance and Repair,-812.38,"250,162.75"
,Checking,05/18/2024,Expense,,,,Legal & Professional Fees:Lawyer,"-1,410.31","248,752.44"
,Checking,05/18/2024,Bill Payment (Check),,Bailey-Ruecker,,Accounts Payable (A/P),"-1,167.10","247,585.34"
,Checking,05/19/2024,Bill Payment (Check),,Moore Group,,Accounts Payable (A/P),-496.34,"247,089.00"
,Checking,05/27/2024,Transfer,,,,Savings,"-5,768.17","241,320.83"
,Checking,05/29/2024,Bill Payment (Check),,Kessler Inc,,Accounts Payable (A/P),-567.47,"240,753.36"
,Checking,05/29/2024,Deposit,,,,Other Portfolio Income,"42,191.13","282,944.49"
,Checking,06/01/2024,Expense,,,,Meals and Entertainment,-484.38,"282,460.11"
,Checking,06/01/2024,Deposit,,,,Other Portfolio Income,"6,374.87","288,834.98"
,Checking,06/02/2024,Deposit,,,,Sales of Product Income,"52,804.17","341,639.15"
,Checking,06/06/2024,Bill Payment (Check),,Kulas Group,,Accounts Payable (A/P),-560.63,"341,078.52"
,Checking,06/06/2024,Deposit,,,,Landscaping Services,"16,678.24","357,756.76"
,Checking,06/10/2024,Expense,,,,Legal & Professional Fees:Bookkeeper,-44.28,"357,712.48"
,Checking,06/10/2024,Bill Payment (Check),,Bashirian and Sons,,Accounts Payable (A/P),-309.18,"357,403.30"
,Checking,06/11/2024,Deposit,,,,Discounts given,"11,755.25","369,158.55"
,Checking,06/11/2024,Transfer,,,,Savings,"-2,494.13","366,664.42"
,Checking,06/14/2024,Expense,,,,Rent or Lease,-333.47,"366,330.95"
,Checking,06/17/2024,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),-579.79,"365,751.16"
,Checking,06/18/2024,Expense,,,,Travel Meals,-154.36,"365,596.80"
,Checking,06/18/2024,Expense,,,,Equipment Rental,"-1,238.04","364,358.76"
,Checking,06/18/2024,Transfer,,,,Savings,"-9,686.42","354,672.34"
,Checking,06/20/2024,Deposit,,,,Refunds-Allowances,"11,371.15","366,043.49"
,Checking,06/22/2024,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),-187.55,"365,855.94"
,Checking,06/22/2024,Journal Entry,,,,,-850.04,"365,005.90"
