Journal,,,,,,,,
Sandbox Company_US_2,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,

,Transaction date,Transaction type,Num,Name,Memo/Description,Full name,Debit,Credit
,01/14/2023,Vendor Credit,,Bashirian and Sons,,Accounts Payable (A/P),190.93,
,01/14/2023,Vendor Credit,,Bashirian and Sons,,Promotional,,190.93
Total for 1422,,,,,,,$190.93,$190.93
1425,,,,,,,,
,01/14/2023,Deposit,,,,Checking,"2,293.04",
,01/14/2023,Deposit,,,,Landscaping Services:Job Materials,,"2,293.04"
Total for 1425,,,,,,,"$2,293.04","$2,293.04"
1349,,,,,,,,
,01/16/2023,Invoice,1413,"Thiel, Keeling and O'Keefe",,Accounts Receivable (A/R),0.00,
,01/16/2023,Invoice,1413,"Thiel, Keeling and O'Keefe",,Landscaping Services,0.00,
Total for 1349,,,,,,,$0.00,
1360,,,,,,,,
,01/16/2023,Sales Receipt,1424,Hammes LLC,,Undeposited Funds,0.00,
,01/16/2023,Sales Receipt,1424,Hammes LLC,,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 1360,,,,,,,$0.00,
1430,,,,,,,,
,01/16/2023,Journal Entry,,,,Legal & Professional Fees:Accounting,"1,205.19",
,01/16/2023,Journal Entry,,,,Savings,,"1,205.19"
Total for 1430,,,,,,,"$1,205.19","$1,205.19"
1352,,,,,,,,
,01/18/2023,Invoice,1416,Krajcik Inc,,Accounts Receivable (A/R),175.00,
,01/18/2023,Invoice,1416,Krajcik Inc,,Services,0.00,
,01/18/2023,Invoice,1416,Krajcik Inc,,Landscaping Services,,175.00
,01/18/2023,Invoice,1416,Krajcik Inc,,Landscaping Services,0.00,
Total for 1352,,,,,,,$175.00,$175.00
1378,,,,,,,,
,01/18/2023,Bill,,Weber and Sons,,Accounts Payable (A/P),,549.79
,01/18/2023,Bill,,Weber and Sons,,Meals and Entertainment,549.79,
Total for 1378,,,,,,,$549.79,$549.79
1399,,,,,,,,
,01/18/2023,Payment,,"Mohr, Haag and Labadie",,Undeposited Funds,100.00,
,01/18/2023,Payment,,"Mohr, Haag and Labadie",,Accounts Receivable (A/R),,100.00
Total for 1399,,,,,,,$100.00,$100.00
1353,,,,,,,,
,01/19/2023,Invoice,1417,Thompson-Aufderhar,,Accounts Receivable (A/R),210.00,
,01/19/2023,Invoice,1417,Thompson-Aufderhar,,Landscaping Services,,210.00
,01/19/2023,Invoice,1417,Thompson-Aufderhar,,Landscaping Services,0.00,
,01/19/2023,Invoice,1417,Thompson-Aufderhar,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1353,,,,,,,$210.00,$210.00
1381,,,,,,,,
,01/19/2023,Bill,,Pfannerstill Group,,Accounts Payable (A/P),,474.88
,01/19/2023,Bill,,Pfannerstill Group,,Insurance:Workers Compensation,474.88,
Total for 1381,,,,,,,$474.88,$474.88
1385,,,,,,,,
,01/19/2023,Expense,,,,Savings,,46.42
,01/19/2023,Expense,,,,Job Expenses,46.42,
Total for 1385,,,,,,,$46.42,$46.42
1414,,,,,,,,
,01/19/2023,Bill Payment (Check),,Bashirian and Sons,,Checking,,702.64
,01/19/2023,Bill Payment (Check),,Bashirian and Sons,,Accounts Payable (A/P),702.64,
Total for 1414,,,,,,,$702.64,$702.64
1366,,,,,,,,
,01/20/2023,Sales Receipt,1430,Hand LLC,,Undeposited Funds,0.00,
,01/20/2023,Sales Receipt,1430,Hand LLC,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1366,,,,,,,$0.00,
1419,,,,,,,,
,01/20/2023,Credit Memo,1432,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),,35.00
,01/20/2023,Credit Memo,1432,"Stokes, Murray and Wolff",,Landscaping Services,35.00,
Total for 1419,,,,,,,$35.00,$35.00
1345,,,,,,,,
,01/21/2023,Invoice,1409,Mohr-Koch,,Accounts Receivable (A/R),200.00,
,01/21/2023,Invoice,1409,Mohr-Koch,,Landscaping Services:Job Materials:Plants and Soil,,60.00
,01/21/2023,Invoice,1409,Mohr-Koch,,Landscaping Services,,140.00
Total for 1345,,,,,,,$200.00,$200.00
1432,,,,,,,,
,01/21/2023,Journal Entry,,,,Maintenance and Repair,"1,787.92",
,01/21/2023,Journal Entry,,,,Savings,,"1,787.92"
Total for 1432,,,,,,,"$1,787.92","$1,787.92"
1376,,,,,,,,
,01/22/2023,Bill,,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),,440.19
,01/22/2023,Bill,,"D'Amore, Brakus and Koch",,Utilities,440.19,
Total for 1376,,,,,,,$440.19,$440.19
1404,,,,,,,,
,01/22/2023,Payment,,Becker-Adams,,Undeposited Funds,640.15,
,01/22/2023,Payment,,Becker-Adams,,Accounts Receivable (A/R),,640.15
Total for 1404,,,,,,,$640.15,$640.15
1411,,,,,,,,
,01/23/2023,Bill Payment (Check),,Ullrich-Dach,,Savings,,"1,352.09"
,01/23/2023,Bill Payment (Check),,Ullrich-Dach,,Accounts Payable (A/P),"1,352.09",
Total for 1411,,,,,,,"$1,352.09","$1,352.09"
1417,,,,,,,,
,01/23/2023,Bill Payment (Check),,Lubowitz LLC,,Checking,,"1,071.39"
,01/23/2023,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),"1,071.39",
Total for 1417,,,,,,,"$1,071.39","$1,071.39"
1356,,,,,,,,
,01/24/2023,Invoice,1420,Romaguera and Sons,,Accounts Receivable (A/R),50.00,
,01/24/2023,Invoice,1420,Romaguera and Sons,,Landscaping Services:Labor:Installation,,50.00
Total for 1356,,,,,,,$50.00,$50.00
1343,,,,,,,,
,01/25/2023,Invoice,1407,"Willms, Ratke and Little",,Accounts Receivable (A/R),0.00,
,01/25/2023,Invoice,1407,"Willms, Ratke and Little",,Services,0.00,
,01/25/2023,Invoice,1407,"Willms, Ratke and Little",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1343,,,,,,,$0.00,
1348,,,,,,,,
,01/25/2023,Invoice,1412,Thompson-Aufderhar,,Accounts Receivable (A/R),750.00,
,01/25/2023,Invoice,1412,Thompson-Aufderhar,,Design income,,750.00
,01/25/2023,Invoice,1412,Thompson-Aufderhar,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1348,,,,,,,$750.00,$750.00
1380,,,,,,,,
,01/25/2023,Bill,,"Ledner, Kautzer and Turner",,Accounts Payable (A/P),,849.28
,01/25/2023,Bill,,"Ledner, Kautzer and Turner",,Rent or Lease,849.28,
Total for 1380,,,,,,,$849.28,$849.28
1388,,,,,,,,
,01/25/2023,Expense,,,,Savings,,28.84
,01/25/2023,Expense,,,,Legal & Professional Fees:Bookkeeper,28.84,
Total for 1388,,,,,,,$28.84,$28.84
1373,,,,,,,,
,01/26/2023,Bill,,Blanda LLC,,Accounts Payable (A/P),,561.84
,01/26/2023,Bill,,Blanda LLC,,Taxes & Licenses,561.84,
Total for 1373,,,,,,,$561.84,$561.84
1408,,,,,,,,
,01/26/2023,Payment,,"Stokes, Murray and Wolff",,Undeposited Funds,315.00,
,01/26/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),,315.00
Total for 1408,,,,,,,$315.00,$315.00
1387,,,,,,,,
,01/27/2023,Expense,,,,Savings,,35.95
,01/27/2023,Expense,,,,Automobile,35.95,
Total for 1387,,,,,,,$35.95,$35.95
1390,,,,,,,,
,01/27/2023,Expense,,,,Checking,,40.40
,01/27/2023,Expense,,,,Utilities:Telephone,40.40,
Total for 1390,,,,,,,$40.40,$40.40
1400,,,,,,,,
,01/27/2023,Payment,,Mayert-Lehner,,Undeposited Funds,403.05,
,01/27/2023,Payment,,Mayert-Lehner,,Accounts Receivable (A/R),,403.05
Total for 1400,,,,,,,$403.05,$403.05
1403,,,,,,,,
,01/27/2023,Payment,,Glover-Pfannerstill,,Undeposited Funds,768.51,
,01/27/2023,Payment,,Glover-Pfannerstill,,Accounts Receivable (A/R),,768.51
Total for 1403,,,,,,,$768.51,$768.51
1402,,,,,,,,
,01/28/2023,Payment,,"Lehner, Hane and Borer",,Undeposited Funds,562.85,
,01/28/2023,Payment,,"Lehner, Hane and Borer",,Accounts Receivable (A/R),,562.85
Total for 1402,,,,,,,$562.85,$562.85
1427,,,,,,,,
,01/28/2023,Deposit,,,,Savings,"2,521.75",
,01/28/2023,Deposit,,,,Landscaping Services:Job Materials:Fountains and Garden Lighting,,"2,521.75"
Total for 1427,,,,,,,"$2,521.75","$2,521.75"
1344,,,,,,,,
,01/29/2023,Invoice,1408,Hammes LLC,,Accounts Receivable (A/R),0.00,
,01/29/2023,Invoice,1408,Hammes LLC,,Other Income,0.00,
Total for 1344,,,,,,,$0.00,
1346,,,,,,,,
,01/29/2023,Invoice,1410,Kub and Sons,,Accounts Receivable (A/R),105.00,
,01/29/2023,Invoice,1410,Kub and Sons,,Pest Control Services,,105.00
,01/29/2023,Invoice,1410,Kub and Sons,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1346,,,,,,,$105.00,$105.00
1367,,,,,,,,
,01/29/2023,Sales Receipt,1431,"Kiehn, Franecki and Nicolas",,Undeposited Funds,0.00,
,01/29/2023,Sales Receipt,1431,"Kiehn, Franecki and Nicolas",,Services,0.00,
Total for 1367,,,,,,,$0.00,
1383,,,,,,,,
,01/29/2023,Bill,,Grimes-Schulist,,Accounts Payable (A/P),,"1,049.85"
,01/29/2023,Bill,,Grimes-Schulist,,Uncategorized Expense,"1,049.85",
Total for 1383,,,,,,,"$1,049.85","$1,049.85"
1398,,,,,,,,
,01/29/2023,Payment,,Bergstrom LLC,,Undeposited Funds,280.00,
,01/29/2023,Payment,,Bergstrom LLC,,Accounts Receivable (A/R),,280.00
Total for 1398,,,,,,,$280.00,$280.00
1431,,,,,,,,
,01/29/2023,Journal Entry,,,,Legal & Professional Fees:Bookkeeper,679.36,
,01/29/2023,Journal Entry,,,,Savings,,679.36
Total for 1431,,,,,,,$679.36,$679.36
1433,,,,,,,,
,01/29/2023,Journal Entry,,,,Promotional,391.98,
,01/29/2023,Journal Entry,,,,Savings,,391.98
Total for 1433,,,,,,,$391.98,$391.98
1355,,,,,,,,
,01/30/2023,Invoice,1419,"Willms, Ratke and Little",,Accounts Receivable (A/R),525.00,
,01/30/2023,Invoice,1419,"Willms, Ratke and Little",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,01/30/2023,Invoice,1419,"Willms, Ratke and Little",,Design income,,525.00
,01/30/2023,Invoice,1419,"Willms, Ratke and Little",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1355,,,,,,,$525.00,$525.00
1401,,,,,,,,
,01/30/2023,Payment,,Morar-Ernser,,Undeposited Funds,315.00,
,01/30/2023,Payment,,Morar-Ernser,,Accounts Receivable (A/R),,315.00
Total for 1401,,,,,,,$315.00,$315.00
1416,,,,,,,,
,01/30/2023,Bill Payment (Check),,Marquardt-Erdman,,Checking,,779.76
,01/30/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),779.76,
Total for 1416,,,,,,,$779.76,$779.76
1420,,,,,,,,
,01/30/2023,Credit Memo,1433,Mohr-Koch,,Accounts Receivable (A/R),,75.00
,01/30/2023,Credit Memo,1433,Mohr-Koch,,Design income,75.00,
Total for 1420,,,,,,,$75.00,$75.00
1423,,,,,,,,
,01/31/2023,Deposit,,,,Savings,"5,531.57",
,01/31/2023,Deposit,,,,Landscaping Services:Labor:Installation,,"5,531.57"
Total for 1423,,,,,,,"$5,531.57","$5,531.57"
1456,,,,,,,,
,02/01/2023,Sales Receipt,1455,"Lindgren, Wiegand and White",,Undeposited Funds,0.00,
,02/01/2023,Sales Receipt,1455,"Lindgren, Wiegand and White",,Other Income,0.00,
Total for 1456,,,,,,,$0.00,
1522,,,,,,,,
,02/01/2023,Journal Entry,,,,Job Expenses,"1,333.20",
,02/01/2023,Journal Entry,,,,Checking,,"1,333.20"
Total for 1522,,,,,,,"$1,333.20","$1,333.20"
1436,,,,,,,,
,02/02/2023,Invoice,1436,Hammes LLC,,Accounts Receivable (A/R),0.00,
,02/02/2023,Invoice,1436,Hammes LLC,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1436,,,,,,,$0.00,
1470,,,,,,,,
,02/02/2023,Bill,,Lubowitz LLC,,Accounts Payable (A/P),,366.29
,02/02/2023,Bill,,Lubowitz LLC,,Depreciation,366.29,
Total for 1470,,,,,,,$366.29,$366.29
1479,,,,,,,,
,02/02/2023,Expense,,,,Savings,,232.46
,02/02/2023,Expense,,,,Job Expenses,232.46,
Total for 1479,,,,,,,$232.46,$232.46
1491,,,,,,,,
,02/02/2023,Payment,,"Auer, Keeling and Steuber",,Undeposited Funds,105.00,
,02/02/2023,Payment,,"Auer, Keeling and Steuber",,Accounts Receivable (A/R),,105.00
Total for 1491,,,,,,,$105.00,$105.00
1434,,,,,,,,
,02/03/2023,Invoice,1434,"Predovic, Kohler and Boyer",,Accounts Receivable (A/R),450.00,
,02/03/2023,Invoice,1434,"Predovic, Kohler and Boyer",,Landscaping Services:Job Materials:Plants and Soil,0.00,
,02/03/2023,Invoice,1434,"Predovic, Kohler and Boyer",,Landscaping Services:Job Materials:Plants and Soil,0.00,
,02/03/2023,Invoice,1434,"Predovic, Kohler and Boyer",,Design income,,450.00
Total for 1434,,,,,,,$450.00,$450.00
1500,,,,,,,,
,02/03/2023,Payment,,"Lynch, Ziemann and Wehner",,Undeposited Funds,450.00,
,02/03/2023,Payment,,"Lynch, Ziemann and Wehner",,Accounts Receivable (A/R),,450.00
Total for 1500,,,,,,,$450.00,$450.00
1480,,,,,,,,
,02/04/2023,Expense,,,,Savings,,125.74
,02/04/2023,Expense,,,,Maintenance and Repair:Computer Repairs,125.74,
Total for 1480,,,,,,,$125.74,$125.74
1512,,,,,,,,
,02/04/2023,Credit Memo,1460,Bahringer Inc,,Accounts Receivable (A/R),0.00,
,02/04/2023,Credit Memo,1460,Bahringer Inc,,Other Income,0.00,
Total for 1512,,,,,,,$0.00,
1445,,,,,,,,
,02/06/2023,Invoice,1444,Watsica-Gottlieb,,Accounts Receivable (A/R),175.00,
,02/06/2023,Invoice,1444,Watsica-Gottlieb,,Pest Control Services,,175.00
,02/06/2023,Invoice,1444,Watsica-Gottlieb,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1445,,,,,,,$175.00,$175.00
1509,,,,,,,,
,02/06/2023,Bill Payment (Check),,Ortiz-Beatty,,Savings,,307.81
,02/06/2023,Bill Payment (Check),,Ortiz-Beatty,,Accounts Payable (A/P),307.81,
Total for 1509,,,,,,,$307.81,$307.81
1437,,,,,,,,
,02/07/2023,Invoice,1437,"Glover, Bode and Raynor",,Accounts Receivable (A/R),0.00,
,02/07/2023,Invoice,1437,"Glover, Bode and Raynor",,Services,0.00,
,02/07/2023,Invoice,1437,"Glover, Bode and Raynor",,Services,0.00,
Total for 1437,,,,,,,$0.00,
1448,,,,,,,,
,02/07/2023,Invoice,1447,Nienow-Mitchell,,Accounts Receivable (A/R),0.00,
,02/07/2023,Invoice,1447,Nienow-Mitchell,,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,02/07/2023,Invoice,1447,Nienow-Mitchell,,Other Income,0.00,
,02/07/2023,Invoice,1447,Nienow-Mitchell,,Landscaping Services,0.00,
Total for 1448,,,,,,,$0.00,
1449,,,,,,,,
,02/07/2023,Invoice,1448,Romaguera and Sons,,Accounts Receivable (A/R),10.00,
,02/07/2023,Invoice,1448,Romaguera and Sons,,Landscaping Services:Labor:Maintenance and Repair,0.00,
,02/07/2023,Invoice,1448,Romaguera and Sons,,Landscaping Services:Job Materials:Plants and Soil,,10.00
Total for 1449,,,,,,,$10.00,$10.00
1481,,,,,,,,
,02/07/2023,Expense,,,,Savings,,93.16
,02/07/2023,Expense,,,,Job Expenses:Job Materials:Plants and Soil,93.16,
Total for 1481,,,,,,,$93.16,$93.16
1450,,,,,,,,
,02/09/2023,Invoice,1449,Ebert-Krajcik,,Accounts Receivable (A/R),305.00,
,02/09/2023,Invoice,1449,Ebert-Krajcik,,Pest Control Services,,245.00
,02/09/2023,Invoice,1449,Ebert-Krajcik,,Landscaping Services:Job Materials:Plants and Soil,,60.00
Total for 1450,,,,,,,$305.00,$305.00
1458,,,,,,,,
,02/09/2023,Sales Receipt,1457,Greenholt-Cassin,,Undeposited Funds,50.00,
,02/09/2023,Sales Receipt,1457,Greenholt-Cassin,,Landscaping Services:Labor:Installation,,50.00
Total for 1458,,,,,,,$50.00,$50.00
1496,,,,,,,,
,02/09/2023,Payment,,"Predovic, Kohler and Boyer",,Undeposited Funds,365.63,
,02/09/2023,Payment,,"Predovic, Kohler and Boyer",,Accounts Receivable (A/R),,365.63
Total for 1496,,,,,,,$365.63,$365.63
1511,,,,,,,,
,02/09/2023,Credit Memo,1459,Hand LLC,,Accounts Receivable (A/R),0.00,
,02/09/2023,Credit Memo,1459,Hand LLC,,Landscaping Services,0.00,
Total for 1511,,,,,,,$0.00,
1523,,,,,,,,
,02/09/2023,Journal Entry,,,,Maintenance and Repair,975.84,
,02/09/2023,Journal Entry,,,,Savings,,975.84
Total for 1523,,,,,,,$975.84,$975.84
1439,,,,,,,,
,02/10/2023,Invoice,1439,"Langworth, Nolan and Harris",,Accounts Receivable (A/R),315.00,
,02/10/2023,Invoice,1439,"Langworth, Nolan and Harris",,Landscaping Services,,315.00
,02/10/2023,Invoice,1439,"Langworth, Nolan and Harris",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
,02/10/2023,Invoice,1439,"Langworth, Nolan and Harris",,Landscaping Services:Labor:Maintenance and Repair,0.00,
Total for 1439,,,,,,,$315.00,$315.00
1442,,,,,,,,
,02/10/2023,Invoice,1442,Becker-Adams,,Accounts Receivable (A/R),350.00,
,02/10/2023,Invoice,1442,Becker-Adams,,Landscaping Services,,350.00
Total for 1442,,,,,,,$350.00,$350.00
1454,,,,,,,,
,02/10/2023,Sales Receipt,1453,"Stokes, Murray and Wolff",,Undeposited Funds,35.00,
,02/10/2023,Sales Receipt,1453,"Stokes, Murray and Wolff",,Pest Control Services,,35.00
Total for 1454,,,,,,,$35.00,$35.00
1459,,,,,,,,
,02/10/2023,Sales Receipt,1458,Bahringer Inc,,Undeposited Funds,50.00,
,02/10/2023,Sales Receipt,1458,Bahringer Inc,,Landscaping Services:Labor:Installation,,50.00
Total for 1459,,,,,,,$50.00,$50.00
1455,,,,,,,,
,02/11/2023,Sales Receipt,1454,Glover-Pfannerstill,,Undeposited Funds,75.00,
,02/11/2023,Sales Receipt,1454,Glover-Pfannerstill,,Design income,,75.00
Total for 1455,,,,,,,$75.00,$75.00
1501,,,,,,,,
,02/11/2023,Payment,,"Willms, Ratke and Little",,Undeposited Funds,450.00,
